R2 p
ENSG00000126822 0.351754265288119 1.11757240230936e-05
ENSG00000197461 0.350849374292787 1.15453772142615e-05
ENSG00000183621 0.350464086560832 1.1706311777937e-05
ENSG00000136378 0.35013734548519 1.18444791676886e-05
ENSG00000179163 0.350133901015518 1.1845944029476e-05
ENSG00000198794 0.350101614402735 1.18596833300622e-05
ENSG00000073350 0.349932483717102 1.19319061480105e-05
ENSG00000171617 0.349831671526906 1.19751562532855e-05
ENSG00000157827 0.3495313212305 1.21049066725831e-05
ENSG00000101265 0.349424498700547 1.21513786390803e-05
ENSG00000125910 0.349386311427281 1.21680331675034e-05
ENSG00000072135 0.349343045998211 1.21869289337884e-05
ENSG00000215845 0.349325814273527 1.21944625779413e-05
ENSG00000177469 0.348922908304286 1.23718930113981e-05
ENSG00000182578 0.348879743721758 1.2391048202165e-05
ENSG00000121797 0.348725159859074 1.24598821895638e-05
ENSG00000105717 0.348509023945122 1.25567409816618e-05
ENSG00000140284 0.348330792162395 1.26371576250062e-05
ENSG00000112874 0.348188425463582 1.27017476938551e-05
ENSG00000168743 0.348068734848355 1.27562953444738e-05
ENSG00000106780 0.348065785130246 1.27576424846509e-05
ENSG00000101638 0.348004436271842 1.27856916072311e-05
ENSG00000100372 0.347582259935818 1.2980327533274e-05
ENSG00000049759 0.34756482518859 1.29884264086222e-05
ENSG00000171357 0.347371270353208 1.30786644072511e-05
ENSG00000125868 0.346843302856544 1.33278850360519e-05
ENSG00000122557 0.346632343786916 1.3428736875154e-05
ENSG00000162627 0.346445789732712 1.35185324832143e-05
ENSG00000109113 0.346435336316379 1.35235811544732e-05
ENSG00000140044 0.346287346408612 1.35952503965697e-05
ENSG00000165030 0.345501469834752 1.39819983480116e-05
ENSG00000158555 0.344647328158603 1.44143324747326e-05
ENSG00000148426 0.344575606357528 1.44512145396902e-05
ENSG00000065882 0.344033264516224 1.47330592319417e-05
ENSG00000183087 0.343985864964895 1.47579414560006e-05
ENSG00000162817 0.343884078208511 1.48115106592961e-05
ENSG00000170627 0.343764398045191 1.48747361130575e-05
ENSG00000133256 0.342682323752394 1.54582842986084e-05
ENSG00000214999 0.342336365626594 1.56494542360441e-05
